film,zanr
85811,Adventure
85811,Fantasy
85859,Comedy
85859,Drama
85862,Action
85862,Crime
85862,Drama
85894,Comedy
85894,Romance
85894,Sci-Fi
85959,Comedy
85959,Musical
85970,Comedy
85970,Drama
85995,Adventure
85995,Comedy
86006,Action
86006,Adventure
86006,Thriller
86022,Drama
86034,Action
86034,Adventure
86034,Thriller
86066,Crime
86066,Drama
86154,Crime
86154,Horror
86154,Mystery
86190,Action
86190,Adventure
86190,Fantasy
86200,Comedy
86200,Crime
86200,Drama
86250,Crime
86250,Drama
86320,Horror
86361,Drama
86361,Music
86361,Romance
86393,Action
86393,Adventure
86393,Comedy
86465,Comedy
86541,Horror
86541,Sci-Fi
86541,Thriller
86567,Action
86567,Adventure
86567,Drama
86659,Comedy
86659,History
86659,War
86687,Comedy
86687,Family
86687,Romance
86759,Action
86759,Crime
86759,Drama
86770,Comedy
86827,Comedy
86827,Family
86827,Romance
86837,Adventure
86837,Mystery
86837,Sci-Fi
86856,Adventure
86856,Comedy
86856,Sci-Fi
86879,Biography
86879,Drama
86879,Music
86960,Action
86960,Comedy
86960,Crime
86969,Drama
86969,War
86979,Crime
86979,Drama
86979,Thriller
86984,Crime
86984,Drama
86984,Mystery
86993,Adventure
86993,Drama
86993,History
87003,Comedy
87015,Horror
87015,Sci-Fi
87032,Action
87032,Comedy
87050,Horror
87050,Thriller
87078,Action
87078,Adventure
87078,Fantasy
87182,Action
87182,Adventure
87182,Sci-Fi
87262,Action
87262,Horror
87262,Sci-Fi
87277,Drama
87277,Music
87277,Romance
87298,Horror
87298,Thriller
87332,Action
87332,Comedy
87332,Fantasy
87363,Comedy
87363,Fantasy
87363,Horror
87469,Action
87469,Adventure
87538,Action
87538,Drama
87538,Family
87544,Adventure
87544,Animation
87544,Fantasy
87553,Biography
87553,Drama
87553,History
87578,Action
87578,Comedy
87578,Crime
87755,Adventure
87755,Comedy
87755,Drama
87799,Comedy
87799,Horror
87799,Sci-Fi
87803,Drama
87803,Sci-Fi
87843,Crime
87843,Drama
87884,Drama
87909,Crime
87909,Horror
87909,Mystery
87910,Adventure
87910,Drama
87910,Romance
87928,Comedy
87985,Action
87985,Drama
88000,Comedy
88011,Action
88011,Adventure
88011,Comedy
88024,Action
88024,Crime
88024,Sci-Fi
88083,Adventure
88083,Comedy
88083,Sci-Fi
88128,Comedy
88128,Romance
88161,Comedy
88161,Fantasy
88161,Romance
88170,Action
88170,Adventure
88170,Sci-Fi
88194,Action
88194,Crime
88194,Drama
88247,Action
88247,Sci-Fi
88258,Comedy
88258,Music
88323,Adventure
88323,Drama
88323,Family
88414,Comedy
88414,Romance
88509,Action
88509,Adventure
88509,Animation
88680,Comedy
88680,Crime
88680,Drama
88763,Adventure
88763,Comedy
88763,Sci-Fi
88846,Drama
88846,Sci-Fi
88847,Comedy
88847,Drama
88889,Comedy
88889,Horror
88889,Thriller
88930,Comedy
88930,Crime
88930,Mystery
88939,Drama
88944,Action
88944,Adventure
88944,Thriller
88979,Family
88979,Sci-Fi
88993,Horror
88993,Thriller
89003,Action
89003,Crime
89003,Drama
89013,Horror
89017,Comedy
89017,Drama
89155,Comedy
89155,Crime
89155,Mystery
89175,Fantasy
89175,Horror
89175,Thriller
89218,Adventure
89218,Comedy
89218,Family
89280,Comedy
89280,Horror
89280,Sci-Fi
89346,Action
89346,Comedy
89346,Crime
89370,Action
89370,Adventure
89370,Comedy
89393,Comedy
89393,Romance
89421,Action
89421,Adventure
89421,Comedy
89424,Drama
89461,Action
89461,Comedy
89461,Drama
89489,Action
89489,Horror
89489,Mystery
89530,Action
89530,Adventure
89530,Sci-Fi
89543,Comedy
89543,Thriller
89606,Comedy
89606,Drama
89686,Horror
89755,Biography
89755,Drama
89755,Romance
89767,Drama
89767,Western
89791,Adventure
89791,Comedy
89791,Family
89822,Comedy
89841,Comedy
89841,Crime
89841,Drama
89853,Comedy
89853,Fantasy
89853,Romance
89869,Drama
89869,Mystery
89869,Sci-Fi
89880,Action
89880,Adventure
89880,Thriller
89881,Action
89881,Drama
89881,War
89886,Comedy
89886,Romance
89886,Sci-Fi
89901,Action
89901,Adventure
89901,Comedy
89908,Adventure
89908,Family
89908,Fantasy
89927,Drama
89927,Sport
89961,Adventure
89961,Family
89961,Fantasy
90021,Horror
90094,Comedy
90094,Horror
90094,Sci-Fi
90098,Comedy
90103,Comedy
90103,Drama
90103,Romance
90142,Comedy
90142,Fantasy
90142,Romance
90180,Action
90180,Crime
90180,Drama
